image_name,image_type,n_test_transitions,global_accuracy,markov_accuracy,conditioned_accuracy,conditioned_gain_pp
1369.png,h_bar,226,0.11946902654867257,0.10619469026548672,0.10176991150442478,-0.442477876106194
13694.png,pie,241,0.016597510373443983,0.2863070539419087,0.36099585062240663,7.4688796680497935
13704496008944.png,h_bar,133,0.0,0.21804511278195488,0.2706766917293233,5.263157894736842
13832.png,pie,498,0.010040160642570281,0.36947791164658633,0.25502008032128515,-11.445783132530119
13870.png,line,361,0.027700831024930747,0.21329639889196675,0.18559556786703602,-2.770083102493073
13934.png,pie,471,0.07218683651804671,0.1613588110403397,0.19957537154989385,3.821656050955416
13935.png,pie,281,0.07473309608540925,0.1708185053380783,0.15302491103202848,-1.779359430604982
14046257021876.png,line,273,0.01098901098901099,0.20146520146520147,0.22344322344322345,2.1978021978021984
14101.png,pie,340,0.08235294117647059,0.15588235294117647,0.21470588235294116,5.882352941176469
14135.png,pie,335,0.041791044776119404,0.22686567164179106,0.17313432835820897,-5.3731343283582085
14734.png,pie,281,0.08540925266903915,0.20284697508896798,0.21708185053380782,1.4234875444839838
1475.png,pie,82,0.024390243902439025,0.12195121951219512,0.17073170731707318,4.8780487804878065
14873.png,pie,240,0.0375,0.15833333333333333,0.19166666666666668,3.3333333333333353
14918.png,pie,190,0.042105263157894736,0.18947368421052632,0.22631578947368422,3.68421052631579
1493.png,h_bar,459,0.06100217864923747,0.39215686274509803,0.3355119825708061,-5.664488017429193
15008.png,line,278,0.025179856115107913,0.3237410071942446,0.3129496402877698,-1.0791366906474809
15494.png,pie,350,0.05142857142857143,0.19714285714285715,0.19714285714285715,0.0
15775224002881.png,h_bar,57,0.12280701754385964,0.15789473684210525,0.17543859649122806,1.7543859649122806
15890399002800.png,h_bar,99,0.010101010101010102,0.10101010101010101,0.13131313131313133,3.0303030303030316
1595.png,h_bar,161,0.012422360248447204,0.3416149068322981,0.21739130434782608,-12.422360248447204
160.png,pie,298,0.030201342281879196,0.23825503355704697,0.29194630872483224,5.369127516778526
16010.png,pie,254,0.051181102362204724,0.16929133858267717,0.19291338582677164,2.3622047244094473
16071612007243.png,h_bar,140,0.07142857142857142,0.11428571428571428,0.19285714285714287,7.8571428571428585
16071612007363.png,line,284,0.0035211267605633804,0.3028169014084507,0.31338028169014087,1.0563380281690182
16073.png,pie,172,0.046511627906976744,0.1744186046511628,0.25,7.55813953488372
16154903007046.png,line,494,0.024291497975708502,0.25101214574898784,0.2894736842105263,3.8461538461538494
16354.png,line,366,0.01366120218579235,0.36885245901639346,0.3469945355191257,-2.1857923497267784
16690723024352.png,line,253,0.02766798418972332,0.2490118577075099,0.36363636363636365,11.462450592885375
16763327006454.png,h_bar,117,0.0,0.1794871794871795,0.18803418803418803,0.8547008547008544
16804.png,line,477,0.05870020964360587,0.29350104821802936,0.29559748427672955,0.20964360587001907
16811.png,pie,190,0.13157894736842105,0.18947368421052632,0.2,1.052631578947369
1683.png,h_bar,264,0.003787878787878788,0.2878787878787879,0.2765151515151515,-1.136363636363641
16902888001203.png,h_bar,117,0.017094017094017096,0.11965811965811966,0.1452991452991453,2.5641025641025648
16918615006084.png,h_bar,74,0.0,0.10810810810810811,0.13513513513513514,2.7027027027027026
16918615006273.png,line,369,0.02981029810298103,0.2140921409214092,0.25474254742547425,4.0650406504065035
16970.png,pie,491,0.02240325865580448,0.23625254582484725,0.2729124236252546,3.6659877800407332
17000.png,pie,244,0.05327868852459016,0.16393442622950818,0.24180327868852458,7.786885245901639
17071953001277.png,line,294,0.017006802721088437,0.22789115646258504,0.272108843537415,4.421768707482995
17098927006493.png,h_bar,108,0.0,0.16666666666666666,0.2222222222222222,5.555555555555555
17254876004013.png,line,566,0.053003533568904596,0.24381625441696114,0.2137809187279152,-3.0035335689045954
17255.png,line,309,0.0,0.2621359223300971,0.22330097087378642,-3.8834951456310662
17295.png,line,286,0.027972027972027972,0.26573426573426573,0.2727272727272727,0.6993006993006978
17358.png,pie,173,0.07514450867052024,0.13872832369942195,0.21965317919075145,8.092485549132949
17361.png,pie,475,0.04,0.20421052631578948,0.26526315789473687,6.105263157894739
17368637001831.png,h_bar,75,0.0,0.16,0.06666666666666667,-9.333333333333334
17370.png,line,293,0.08873720136518772,0.2935153583617747,0.2832764505119454,-1.0238907849829337
17454.png,line,361,0.00554016620498615,0.3047091412742382,0.32409972299168976,1.939058171745156
17770.png,line,517,0.025145067698259187,0.25918762088974856,0.23404255319148937,-2.5145067698259194
17927221005995.png,h_bar,86,0.011627906976744186,0.1744186046511628,0.20930232558139536,3.4883720930232567
17971.png,line,446,0.08071748878923767,0.3116591928251121,0.273542600896861,-3.811659192825112
17975.png,line,385,0.01038961038961039,0.3246753246753247,0.2857142857142857,-3.8961038961038974
18051975000585.png,h_bar,85,0.047058823529411764,0.16470588235294117,0.09411764705882353,-7.0588235294117645
18143564004789.png,line,261,0.01532567049808429,0.3103448275862069,0.2950191570881226,-1.532567049808431
18163.png,line,437,0.002288329519450801,0.18764302059496568,0.2311212814645309,4.3478260869565215
18187.png,pie,388,0.015463917525773196,0.2551546391752577,0.2190721649484536,-3.6082474226804107
1831.png,h_bar,277,0.039711191335740074,0.35018050541516244,0.35018050541516244,0.0
18315527000187.png,line,617,0.017828200972447326,0.2366288492706645,0.3095623987034036,7.293354943273908
1881.png,h_bar,143,0.027972027972027972,0.11888111888111888,0.15384615384615385,3.4965034965034976
18820164002528.png,h_bar,144,0.10416666666666667,0.1111111111111111,0.125,1.3888888888888895
18846805000852.png,h_bar,281,0.017793594306049824,0.2597864768683274,0.2597864768683274,0.0
18868489007763.png,h_bar,205,0.01951219512195122,0.2780487804878049,0.2682926829268293,-0.9756097560975618
19104713013357.png,h_bar,112,0.008928571428571428,0.10714285714285714,0.20535714285714285,9.821428571428571
19403388013587.png,h_bar,117,0.06837606837606838,0.1794871794871795,0.18803418803418803,0.8547008547008544
1971.png,line,437,0.02517162471395881,0.3112128146453089,0.34324942791762014,3.203661327231122
19980.png,pie,420,0.0880952380952381,0.25,0.3142857142857143,6.428571428571428
20665534013085.png,h_bar,257,0.0038910505836575876,0.0933852140077821,0.2840466926070039,19.06614785992218
2094.png,h_bar,190,0.04736842105263158,0.19473684210526315,0.2,0.5263157894736858
2144.png,h_bar,414,0.03140096618357488,0.3357487922705314,0.34782608695652173,1.2077294685990336
2145.png,h_bar,285,0.028070175438596492,0.38596491228070173,0.3508771929824561,-3.508771929824561
21881727007008.png,h_bar,129,0.0,0.1937984496124031,0.24031007751937986,4.651162790697675
2215.png,h_bar,361,0.0110803324099723,0.3739612188365651,0.3850415512465374,1.1080332409972304
2247.png,h_bar,303,0.036303630363036306,0.2607260726072607,0.22772277227722773,-3.3003300330032985
2251.png,h_bar,307,0.04560260586319218,0.36156351791530944,0.2671009771986971,-9.446254071661237
2281.png,h_bar,195,0.010256410256410256,0.37948717948717947,0.31794871794871793,-6.153846153846154
23091878004831.png,line,498,0.09036144578313253,0.23694779116465864,0.25502008032128515,1.8072289156626509
23091878004839.png,h_bar,65,0.0,0.06153846153846154,0.046153846153846156,-1.5384615384615385
2335.png,h_bar,151,0.09933774834437085,0.40397350993377484,0.23178807947019867,-17.218543046357617
23355169003897.png,h_bar,108,0.009259259259259259,0.2962962962962963,0.12037037037037036,-17.59259259259259
23366484000458.png,h_bar,137,0.014598540145985401,0.16058394160583941,0.1678832116788321,0.7299270072992692
2339.png,h_bar,118,0.05084745762711865,0.3728813559322034,0.3644067796610169,-0.8474576271186474
23725951001976.png,h_bar,194,0.05670103092783505,0.19072164948453607,0.17010309278350516,-2.061855670103091
2452.png,h_bar,437,0.009153318077803204,0.2906178489702517,0.3135011441647597,2.288329519450799
2470.png,h_bar,274,0.010948905109489052,0.3357664233576642,0.3284671532846715,-0.7299270072992692
24779936003610.png,line,299,0.020066889632107024,0.2709030100334448,0.2809364548494983,1.0033444816053505
24884920000380.png,h_bar,110,0.00909090909090909,0.02727272727272727,0.12727272727272726,10.0
25404558003027.png,line,572,0.033216783216783216,0.26223776223776224,0.2972027972027972,3.496503496503495
2555.png,h_bar,344,0.029069767441860465,0.27906976744186046,0.27325581395348836,-0.5813953488372103
25615455003200.png,h_bar,94,0.32978723404255317,0.18085106382978725,0.11702127659574468,-6.382978723404256
25697136002533.png,h_bar,91,0.07692307692307693,0.15384615384615385,0.17582417582417584,2.1978021978021984
2606.png,h_bar,249,0.020080321285140562,0.3895582329317269,0.3654618473895582,-2.40963855421687
26143890007033.png,line,491,0.018329938900203666,0.31160896130346233,0.3625254582484725,5.091649694501016
26334874005168.png,line,379,0.002638522427440633,0.2691292875989446,0.3113456464379947,4.221635883905011
26334874005187.png,h_bar,111,0.0,0.0990990990990991,0.06306306306306306,-3.603603603603604
2642.png,h_bar,221,0.004524886877828055,0.21266968325791855,0.22624434389140272,1.357466063348417
2644.png,line,238,0.0,0.42436974789915966,0.2773109243697479,-14.705882352941174
2645.png,h_bar,269,0.007434944237918215,0.30855018587360594,0.3420074349442379,3.3457249070631967
26535003011580.png,h_bar,100,0.01,0.13,0.16,3.0
26958202006631.png,h_bar,80,0.05,0.1375,0.1,-3.7500000000000004
26958202020681.png,line,234,0.017094017094017096,0.26495726495726496,0.26495726495726496,0.0
27162063002465.png,h_bar,102,0.0196078431372549,0.029411764705882353,0.0392156862745098,0.9803921568627451
2773.png,h_bar,446,0.02914798206278027,0.32062780269058294,0.3116591928251121,-0.8968609865470822
27867178011747.png,line,491,0.012219959266802444,0.24643584521384929,0.319755600814664,7.331975560081469
28343736004597.png,h_bar,171,0.005847953216374269,0.16374269005847952,0.19883040935672514,3.508771929824561
2852.png,pie,213,0.014084507042253521,0.1596244131455399,0.25821596244131456,9.859154929577466
28828398008322.png,h_bar,99,0.0,0.0707070707070707,0.09090909090909091,2.0202020202020208
29331874004314.png,h_bar,67,0.0,0.22388059701492538,0.14925373134328357,-7.462686567164181
29373385003083.png,line,264,0.007575757575757576,0.22348484848484848,0.2803030303030303,5.68181818181818
2969.png,h_bar,757,0.026420079260237782,0.3381770145310436,0.332892998678996,-0.5284015852047574
2972.png,h_bar,200,0.05,0.27,0.365,9.499999999999996
29893868000920.png,h_bar,76,0.0,0.06578947368421052,0.15789473684210525,9.210526315789473
2993.png,h_bar,225,0.0044444444444444444,0.3377777777777778,0.3288888888888889,-0.8888888888888891
30856169007563.png,line,341,0.01466275659824047,0.3020527859237537,0.31378299120234604,1.1730205278592365
30953074002781.png,line,238,0.01680672268907563,0.1722689075630252,0.18487394957983194,1.2605042016806733
30999827006737.png,h_bar,101,0.009900990099009901,0.1485148514851485,0.24752475247524752,9.900990099009901
31243312002228.png,line,340,0.01764705882352941,0.2,0.2823529411764706,8.235294117647058
3139.png,h_bar,366,0.01639344262295082,0.37158469945355194,0.33879781420765026,-3.2786885245901676
3185.png,h_bar,344,0.02616279069767442,0.2877906976744186,0.2180232558139535,-6.976744186046513
31970827006544.png,h_bar,202,0.054455445544554455,0.33663366336633666,0.25742574257425743,-7.9207920792079225
32354579000685.png,h_bar,111,0.009009009009009009,0.17117117117117117,0.2072072072072072,3.6036036036036028
32511750001843.png,line,629,0.033386327503974564,0.29411764705882354,0.27980922098569155,-1.4308426073131986
32511750001973.png,h_bar,156,0.09615384615384616,0.21794871794871795,0.21153846153846154,-0.6410256410256415
32788468000617.png,h_bar,179,0.01675977653631285,0.15083798882681565,0.24022346368715083,8.938547486033519
33156208005328.png,h_bar,126,0.0,0.07936507936507936,0.07936507936507936,0.0
334.png,h_bar,432,0.006944444444444444,0.30787037037037035,0.32175925925925924,1.3888888888888895
33677405003863.png,h_bar,87,0.04597701149425287,0.19540229885057472,0.14942528735632185,-4.597701149425287
33748393006094.png,h_bar,141,0.0070921985815602835,0.41134751773049644,0.3829787234042553,-2.8368794326241122
3526.png,h_bar,233,0.02575107296137339,0.2832618025751073,0.33476394849785407,5.1502145922746765
35283033007316.png,h_bar,154,0.0,0.18181818181818182,0.2077922077922078,2.5974025974025983
35310481008378.png,line,495,0.014141414141414142,0.2202020202020202,0.24242424242424243,2.2222222222222228
35422616009087.png,h_bar,93,0.0,0.1827956989247312,0.0967741935483871,-8.60215053763441
3641.png,h_bar,414,0.06763285024154589,0.3695652173913043,0.30917874396135264,-6.038647342995168
3644.png,h_bar,251,0.0398406374501992,0.26693227091633465,0.2549800796812749,-1.195219123505975
3659.png,h_bar,548,0.05656934306569343,0.23722627737226276,0.26094890510948904,2.3722627737226274
37724112005537.png,h_bar,122,0.01639344262295082,0.16393442622950818,0.14754098360655737,-1.6393442622950811
3785.png,h_bar,387,0.025839793281653745,0.29457364341085274,0.3333333333333333,3.875968992248058
3787.png,h_bar,376,0.07180851063829788,0.22340425531914893,0.2047872340425532,-1.8617021276595729
3790.png,h_bar,372,0.013440860215053764,0.34139784946236557,0.3548387096774194,1.3440860215053807
38870537000605.png,h_bar,128,0.0,0.1640625,0.21875,5.46875
39071385004003.png,line,381,0.015748031496062992,0.30708661417322836,0.3123359580052493,0.524934383202097
3921.png,h_bar,436,0.04128440366972477,0.38073394495412843,0.3440366972477064,-3.669724770642202
40253761005817.png,line,193,0.010362694300518135,0.30569948186528495,0.3005181347150259,-0.518134715025903
4138.png,h_bar,299,0.006688963210702341,0.3010033444816054,0.3010033444816054,0.0
4176.png,h_bar,660,0.03787878787878788,0.3106060606060606,0.29393939393939394,-1.6666666666666663
4180.png,h_bar,416,0.019230769230769232,0.4014423076923077,0.40625,0.48076923076922906
4204.png,h_bar,227,0.11894273127753303,0.13656387665198239,0.10572687224669604,-3.083700440528635
42357368005846.png,line,253,0.007905138339920948,0.1976284584980237,0.2450592885375494,4.743083003952569
427.png,line,210,0.004761904761904762,0.2714285714285714,0.3380952380952381,6.6666666666666705
4327.png,h_bar,197,0.050761421319796954,0.3248730964467005,0.30456852791878175,-2.030456852791873
4340.png,h_bar,229,0.017467248908296942,0.16593886462882096,0.15283842794759825,-1.3100436681222711
4359.png,pie,314,0.01910828025477707,0.16878980891719744,0.22611464968152867,5.732484076433122
4361.png,h_bar,157,0.006369426751592357,0.21656050955414013,0.2484076433121019,3.1847133757961776
43709187005017.png,h_bar,151,0.0,0.15894039735099338,0.17218543046357615,1.3245033112582765
44026838000549.png,h_bar,75,0.0,0.28,0.26666666666666666,-1.3333333333333364
4429.png,h_bar,200,0.01,0.335,0.28,-5.499999999999999
44391686006807.png,h_bar,157,0.012738853503184714,0.17834394904458598,0.2356687898089172,5.732484076433122
44409110004750.png,line,271,0.02952029520295203,0.18450184501845018,0.2952029520295203,11.07011070110701
4517.png,h_bar,255,0.058823529411764705,0.30980392156862746,0.3254901960784314,1.5686274509803921
4557.png,h_bar,300,0.04,0.3233333333333333,0.31333333333333335,-0.9999999999999953
4571.png,h_bar,333,0.012012012012012012,0.3663663663663664,0.36036036036036034,-0.6006006006006037
4576.png,line,365,0.021917808219178082,0.3506849315068493,0.33972602739726027,-1.0958904109589052
4578.png,line,279,0.05734767025089606,0.21505376344086022,0.2867383512544803,7.1684587813620055
4602.png,h_bar,298,0.016778523489932886,0.24161073825503357,0.2684563758389262,2.6845637583892605
4735.png,h_bar,202,0.0297029702970297,0.15346534653465346,0.22772277227722773,7.425742574257427
47613048005879.png,h_bar,154,0.045454545454545456,0.12337662337662338,0.15584415584415584,3.2467532467532463
4791.png,h_bar,182,0.005494505494505495,0.2802197802197802,0.3791208791208791,9.890109890109889
47943858016664.png,h_bar,173,0.10982658959537572,0.18497109826589594,0.18497109826589594,0.0
47960336001937.png,h_bar,100,0.03,0.15,0.13,-1.9999999999999991
47990148004196.png,h_bar,181,0.09392265193370165,0.13812154696132597,0.23204419889502761,9.392265193370164
4828.png,h_bar,345,0.05217391304347826,0.3884057971014493,0.35942028985507246,-2.898550724637683
48793615008785.png,h_bar,140,0.02142857142857143,0.2357142857142857,0.32857142857142857,9.285714285714286
4912.png,h_bar,345,0.02318840579710145,0.25507246376811593,0.27246376811594203,1.7391304347826098
50000906005770.png,h_bar,98,0.0,0.1326530612244898,0.19387755102040816,6.1224489795918355
5062.png,h_bar,276,0.07608695652173914,0.22826086956521738,0.2644927536231884,3.6231884057971038
50625168000470.png,line,160,0.0375,0.20625,0.325,11.875000000000002
50906640005080.png,h_bar,422,0.002369668246445498,0.3104265402843602,0.2796208530805687,-3.080568720379145
51070810006766.png,line,225,0.0,0.21333333333333335,0.3022222222222222,8.888888888888888
